Tag,Content
FindItem,Tu fouilles le comptoir en bois et trouves|une boîte avec un objet intéressant.
TrainRopeMasteryNoTime,Tu n'as pas le temps d'étudier la|bande dessinée avant ton prochain cours.
CannotMasturbate,Tu essayes de glisser un doigt à l'intérieur|mais à cause de la ceinture tu échoues lamentablement.
Orgasm,"Tu te stimules avec amour et tu trembles|d'extase, tu obtiens un orgasme silencieux."
OrgasmEnough,"Tu te touches, mais tu n'es plus excitée."
OrgasmRepeat,Tu te touches à nouveau et l'oeuf vibrant se|met en marche et te donne de nouvelles envies.
ClimbFindItem,Tu grimpes sur la structure comme un|singe et trouves un objet intéressant.
StruggleBackFromHolde,"Comme une gymnaste agile, tu arrives|à te retirer lentement du trou."
NoMoreSweetGwendoline,Tu cherches dans les rayons|mais ta revue a disparu.
FindKey,Tu fouilles le bureau et trouves une clé|métallique que tu caches dans ton sac.
OpenKey,Tu essayes la clé que tu as trouvé sur|le bureau et elle déverrouille la porte.
OpenForce,"En utilisant toutes tes forces, tu mets un violent|coup d'épaule dans la porte et casses la serrure."
FindO,"Dans l'étagère, tu trouves un livre coquin|français appelé : ""Histoire d'O""."
FindCabinet,Tu fouilles dans l'armoire en bois|et trouves un collier en cuir.
